,precaution_explicit,uncertainty_quantified,target_ref_points,limit_ref_points,environmental_emergency,fishing_emergency,management_review,no_take_areas,ecosystem_linkages
Argentina,1,1,6.5,6.5,1,4,2,4,0
Angola,0.5,0,4,0,2,0,0,2,1
Australia,8,5,7,5,8,7,9,6,4
Bangladesh,0,0,0,2,0,0,1.5,2,0
Brazil,1.5,2,3,0,0,0,6,3,0
Canada,8.5,9,9,7,7,8,7,3,4.5
Chile,6,8,7,7,2,7,4,3,2
China ,3,4,4.5,1,5,3,7,5,3
Denmark,6,8,8,8,6.5,7,8.5,6,2
Ecuador,0,1,2,0,6,1,1,2,0
Egypt,1,0.5,3,3,4,0,0,2,1
Faroes,5,4,6,5,5,4.5,5.5,5,4.5
France,5,8,7.5,5.5,6,6.5,8.5,3,2.5
Germany,6,7.5,7.5,5,6,5.5,7.5,6,2
Ghana,1,2,3,0,2,1,5,0,2.5
Iceland,6.5,7,8.5,7,7,7,9,3,4
India,2,0,3.5,0,4,0,5.5,3,3.5
Indonesia,2.5,0,3.5,0,1.5,0,4,3.5,1
Iran,0.5,0,2,0,4,0,2,2,0
Ireland,5.5,5.5,6.5,5.5,3,4.5,7.5,3.5,3
Italy,5,5,4.5,4.5,5,6,7,1.5,2.5
Japan,5.5,8,7,6,7,6,7.5,3,6
Latvia,5,5,5.5,4.5,1.5,2,4.5,3.5,3.5
Malaysia,1.5,0,4.5,0,0,4,7,5,2
Mexico,4.5,5,6,0,2,0,1,2,0
Morocco,2.5,3,1.5,0,6.5,3,8,1.5,1.5
Myanmar,1,0,0,0,0,0,2,1.5,1.5
Namibia,5.5,7.5,7.5,6,5,5,8.5,3,5.5
Netherlands,6,8,8,6,6,5,8.5,7,2
New_Zealand,7.5,7,8,5,7,7,9,4.5,4.5
Nigeria ,0.5,0,1.5,0,0,0,1,0,2
North Korea,1,0,0,0,0,0,0,1.5,0
Norway,4.5,6,7.5,6,9,9,5,7,3
Pakistan,0,0,2.5,0,3,1.5,3.5,1,2.5
Peru,4,1,5,0,6,2,3,1.5,2
Philippines,1,0,3.5,0,0,0,4,5.5,0
Poland,6,6,6.5,5.5,2,2,4,1,2.5
Portugal,6,7.5,7,5,6,6,8,3,3
Russia,2.5,4.5,2,0,2,0,4,4,0
Senegal,0,0,2.5,1,0,3.5,5,2,2
South Africa,8,8,9,8,5.5,7,8.5,6,0
South Korea,4.5,3.5,6,0,7,6,7,6,4
Spain,5,8,5,5,6,6,8.5,3,1
Sri Lanka,5,0,2.5,0,0,0,3,0.5,0
Sweden,8,5.5,9,7.5,6,3.5,4.5,5.5,4
Taiwan,3.5,0,2.5,0,7,7,5,3.5,0
Thailand,1,0,3,0,0,0,3,4,0
Turkey,0.5,0,0.5,0,0,1,4,2.5,0
UK,5,6,9,9,6.5,7,8.5,2.5,3
Ukraine,2.5,0,2.5,1,0,0,2.5,3,0.5
USA,8,8,9,8,7,8,8,5,6
Viet Nam,0.5,0,1,0,0,0,1,3,0
Yemen,0,1,1.5,0,0,2,1,2.5,0
Low_Argentina,0,0,4,4,0,2,1,1,0
Low_Angola,0,0,2,0,1,0,0,1,0
Low_Australia,5,4,5,3,6,4,8,4,3
Low_Bangladesh,0,0,0,1,0,0,1,1,0
Low_Brazil,0,1,2,0,0,0,5,2,0
Low_Canada,8,9,9,7,6,7,6,2,4
Low_Chile,5,7,6,6,0,6,3,2,1
Low_China ,1,2,3,1,4,2,6,3,1
Low_Denmark,5,7,7,6,5,5,8,5,0
Low_Ecuador,0,0,1,0,5,0,0,1,0
Low_Egypt,0,0,2,2,3,0,0,1,0
Low_Faroes,3,3,4,3,3,3,4,3,3
Low_France,4,7,7,4,5,5,8,2,0
Low_Germany,5,6,6,4,3,4,4,5,1
Low_Ghana,0,1,2,0,1,0,3,0,2
Low_Iceland,6,6,7,5,6,7,8,1,3
Low_India,2,0,3,0,2,0,5,2,2
Low_Indonesia,2,0,3,0,0,0,2,2,0
Low_Iran,0,0,2,0,3,0,1,2,0
Low_Ireland,5,5,5,5,2,3,5,3,2
Low_Italy,5,4,4,4,4,4,6,1,1
Low_Japan,4,7,5,3,5,4,5,2,5
Low_Latvia,5,3,3,3,1,1,1,2,2
Low_Malaysia,1,0,4,0,0,3,6,3,2
Low_Mexico,3,2,5,0,0,0,1,1,0
Low_Morocco,1,1,1,0,6,1,7,1,0
Low_Myanmar,1,0,0,0,0,0,1,1,0
Low_Namibia,4,6,6,5,4,4,6,2,4
Low_Netherlands,5,7,7,4,5,5,8,5,0
Low_New_Zealand,7,6,7,4,6,7,8,2,3
Low_Nigeria ,0,0,1,0,0,0,0,0,2
Low_North Korea,0,0,0,0,0,0,0,0,0
Low_Norway,4,4,7,5,8,8,4,6,0
Low_Pakistan,0,0,0,0,1,0,1,0,2
Low_Peru,2,0,4,0,5,0,2,1,0
Low_Philippines,0,0,2,0,0,0,2,3,0
Low_Poland,4,4,4,4,1,1,4,0,1
Low_Portugal,5,6,5,4,5,5,7,2,2
Low_Russia,1,3,1,0,1,0,2,2,0
Low_Senegal,0,0,2,1,0,2,2,1,1
Low_South Africa,7,7,7,6,4,5,8,5,0
Low_South Korea,4,2,5,0,5,5,5,4,3
Low_Spain,4,7,4,4,5,5,8,2,0
Low_Sri Lanka,5,0,1,0,0,0,2,0,0
Low_Sweden,5,4,6,6,4,2,4,5,3
Low_Taiwan,1,0,1,0,6,7,4,2,0
Low_Thailand,0,0,2,0,0,0,1,3,0
Low_Turkey,0,0,0,0,0,0,2,1,0
Low_UK,5,6,8,8,5,5,8,1,1
Low_Ukraine,1,0,2,0,0,0,1,2,0
Low_USA,7,7,8,6,6,6,6,4,5
