,capcity_reduced,methods_harmful,bycatch_minimized,discards_minimized,ghost_fishing,juvenile_catch,depleted_stocks_rebuilt
Argentina,4,3.5,3.5,2.5,0,3,2.5
Angola,0,0,0,0,0,1,1
Australia,4.5,5,6.5,4,7,6.5,5
Bangladesh,0,0,1,0,0,0,0
Brazil,2,3,3.5,2,0,2,1.5
Canada,6,3.5,6.5,5.5,7.5,8,6
Chile,5,3,3.5,4,0,3.5,4.5
China ,4,4,1,4,3,1,2
Denmark,3.5,3,2.5,2.5,3,3,3
Ecuador,0,2.5,1,1,0,0,1
Egypt,0.5,0,0,2,0,0,0
Faroes,3,4,3.5,7,3.5,6,4.5
France,4.5,2.5,4.5,2,2,3,3
Germany,5,1.5,2,3,4.5,3,3
Ghana,1,0,1,3.5,0,1,1
Iceland,7,0,6.5,8,2,7,7
India,3,1,1,3,0,1.5,0.5
Indonesia,0,1,2.5,3,0,0,0
Iran,2,2,1,1,0,0,0
Ireland,3,1.5,3.5,2,2.5,3,2.5
Italy,5,2.5,3,2,1,3,1.5
Japan,7,1,2,0,3.5,4.5,4
Latvia,3.5,1.5,2.5,2.5,0,1,1
Malaysia,4,3.5,3,4,0,2.5,0
Mexico,2,4,6,2.5,0,3,1
Morocco,1.5,0,0,0,0,0,0.5
Myanmar,0,0,1,1,0,1,0
Namibia,0,4.5,5,7.5,1,3.5,5.5
Netherlands,4,1.5,4,2.5,2.5,3,3
New_Zealand,7,3.5,5.5,2.5,2,4.5,5
Nigeria ,4,0,1,1.5,0,0.5,0
North Korea,5,0,0,5,0,0,0
Norway,5.5,6,8.5,8,6.5,8.5,7
Pakistan,2,1.5,3.5,3.5,0,2.5,0
Peru,4.5,2.5,1,5,0,6,5
Philippines,0,3,1,4,0,0,0
Poland,3.5,0,0,3,3.5,3,2
Portugal,3.5,4.5,2.5,3,2,4,3
Russia,1.5,2,0,0,3,1,0
Senegal,0,0,2,4,0,0,0.5
South Africa,4,3.5,5,6,1,6,7
