,observers,catch_inpection,vessel_monitoring,illegal_fishing,enforcement_IUU,flags_of_convenience
Argentina,5,2,2,8.5,5,6
Angola,0,1,0,7,0,0
Australia,7,7.5,7,2.5,7.5,0
Bangladesh,1,1.5,0,7.5,0,0
Brazil,3,4,2,8,5,1.5
Canada,7.5,8,7.5,3.5,7,0
Chile,2,7,8,6,4,6
China ,2,4,5,9,4,7
Denmark,4.5,5,5,8,4,0
Ecuador,4,2,0,8,2,5
Egypt,1,0.5,0,5,1.5,0
Faroes,4.5,6,6,4,5,0
France,3.5,4.5,7,7.5,4.5,2.5
Germany,3.5,5,5.5,4,7,4
Ghana,4,3.5,4,6,2.5,3
Iceland,5,7,9,4,7,5
India,0,4.5,3,6,3.5,0
Indonesia,1,3.5,4,9,3.5,4
Iran,0,2.5,1,5,2.5,0
Ireland,4,6,6,7,4.5,0
Italy,1,3,3,8,2,0.5
Japan,4,7,8,5,6,8
Latvia,1.5,3,2,4,1.5,0
Malaysia,0,6,6,6,6,3
Mexico,4,2,5,7,5,1.5
Morocco,1.5,4,2,9,3,7.5
Myanmar,0,3,1.5,10,2,6
Namibia,8.5,8.5,7.5,0.5,8.5,0
Netherlands,4,4.5,5,8,3.5,7.5
New_Zealand,8,5,7,4.5,6,1
Nigeria ,0,0,0,9.5,0,3.5
North Korea,0,0,0,5,0,0
Norway,9,9,8,3.5,7.5,2
Pakistan,3,3,8,8,4.5,0
Peru,0,4,8,7,2.5,3
Philippines,0,5,4,9,4.5,0
Poland,4.5,4.5,5,5,2,0
Portugal,5,5,3.5,4,4,0
Russia,2.5,2,4,10,2.5,8.5
Senegal,3,2,3,6,4.5,0
South Africa,6,5,8,6,5,3
South Korea,4,6,8,6,5,9
Spain,4,4.5,3.5,10,3.5,10
Sri Lanka,0.5,1,0,8,2.5,0
Sweden,4,6,4,6.5,1,5
Taiwan,3,4,4,9.5,3,10
Thailand,0,1.5,2.5,10,2,0
Turkey,0,2.5,0,8.5,3,6
UK,6,3,7.5,8,4,3
Ukraine,2.5,3,2.5,8,0,7
