,Fleet_capacity,Ch_Catch_Power,Ch_Vessel_Size,Ch_Trip_Length,Selective_gear,gear_side_effects
2005_2009,8,6,8,8,8,8
2000_2004,8,6,8,8,8,8
1995_1999,7,6,8,8,8,8
1990_1994,6,6,8,8,8,8
1985_1989,6,5,8,8,8,8
1980_1984,6,5,7,8,8,8
1975_1979,4,3,7,8,8,8
1970_1974,4,3,6,4,7,8
1965_1969,3,2,7,6,6,7
1960_1964,3,2,6,4,6,7
1955_1959,5,5,7,5,6,7
1950_1954,6,5,8,7,6,7
2005_2009_2,6,5,7,7,7,7
2000_2004_2,7,5,7,7,7,7
1995_1999_2,6,5,7,7,7,7
1990_1994_2,5,5,7,7,7,7
1985_1989_2,5,4,7,7,7,7
1980_1984_2,5,4,6,7,7,7
1975_1979_2,3,2,6,7,7,7
1970_1974_2,2,2,5,3,6,7
1965_1969_2,2,1,6,5,5,6
1960_1964_2,2,1,5,3,5,6
1955_1959_2,3,4,6,4,5,6
1950_1954_2,5,4,7,6,5,6
2005_2009_3,9,7,9,9,9,9
2000_2004_3,9,7,9,9,9,9
1995_1999_3,8,7,9,9,9,9
1990_1994_3,7,7,9,9,9,9
1985_1989_3,7,6,9,9,9,9
1980_1984_3,7,6,8,9,9,9
1975_1979_3,5,4,8,9,9,9
1970_1974_3,5,4,7,5,8,9
1965_1969_3,4,3,8,7,7,8
1960_1964_3,4,3,7,5,7,8
1955_1959_3,6,6,8,6,7,8
1950_1954_3,7,6,9,8,7,8
