,var1,var2,var3,var4,var5,var6
GOOD,10,10,10,10,10,10
BAD,0,0,0,0,0,0
UP,10,10,10,0,0,0
DOWN,0,0,0,10,10,10
A1,10,10,10,10,10,0
A2,10,10,10,10,0,0
A3,10,10,0,0,0,0
A4,10,0,0,0,0,0
A5,0,0,0,0,0,10
A6,0,0,0,0,10,10
A7,0,0,10,10,10,10
A8,0,10,10,10,10,10
A9,10,10,10,10,10,10
B1,6.5,2.5,2.5,4,5,2
B2,3.5,0.5,2.5,1.5,2.5,0
B3,7,6.5,8,7,4.5,6.5
B4,2,3,3,3.5,2,3.5
B5,6,2.5,4,5,6,3
B6,8.5,8.5,6.5,6,8,6
B7,7.5,3,8,5,8,1
B8,6,5.5,6,6,6,5.5
B9,8,5,4,4.5,7,7
B10,3,3.5,7,4,5.5,8
B11,3,3,1.5,1,0,3.5
B12,6,5,7.5,5,4.5,6
B13,6.5,5.5,3.5,4,5.5,3
B14,5.5,6,4,4,6.5,4.5
B15,3,3.5,6.5,2,6,4
B16,8,8,5.5,6,8,8
B17,6,4.5,6,4,3,4.5
B18,2,1,3,2,2.5,2
B19,2,4.5,4.5,2.5,3.5,5
B20,6.5,4.5,5.5,4,5,5.5
B21,4,7,6,4,3,5
B22,7,5,7,5.5,6,7
B23,5.5,4.5,3.5,3.5,5,4
B24,6,7.5,8,6.5,5,6
B25,7,2,5,7,6,4
